26-06-2015 10:47:51,868 [main] INFO  - Logging initialized @216ms
26-06-2015 10:47:51,942 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 10:47:51,963 [main] INFO  - Started o.e.j.s.h.ContextHandler@592bf469{/static,null,AVAILABLE}
26-06-2015 10:47:52,016 [main] INFO  - Started ServerConnector@753896f2{HTTP/1.1}{0.0.0.0:8892}
26-06-2015 10:47:52,016 [main] INFO  - Started @373ms
26-06-2015 10:47:53,401 [main] INFO  - Logging initialized @1159ms
26-06-2015 10:47:53,464 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 10:47:53,477 [main] INFO  - Started o.e.j.s.h.ContextHandler@1529d183{/static,null,AVAILABLE}
26-06-2015 10:47:53,494 [main] INFO  - Started ServerConnector@4deafe13{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 10:47:53,494 [main] INFO  - Started @1254ms
26-06-2015 10:47:53,977 [main] INFO  - Stopped ServerConnector@4deafe13{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 10:47:53,978 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@1529d183{/static,null,UNAVAILABLE}
26-06-2015 10:47:53,983 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 10:47:53,984 [main] INFO  - Started o.e.j.s.h.ContextHandler@63b535a0{/static,null,AVAILABLE}
26-06-2015 10:47:53,985 [main] INFO  - Started ServerConnector@4c9b4333{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 10:47:53,986 [main] INFO  - Started @1745ms
26-06-2015 10:47:54,012 [main] INFO  - Stopped ServerConnector@4c9b4333{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 10:47:54,013 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@63b535a0{/static,null,UNAVAILABLE}
26-06-2015 10:47:54,018 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 10:47:54,021 [main] INFO  - Started o.e.j.s.h.ContextHandler@596e1d6b{/static,null,AVAILABLE}
26-06-2015 10:47:54,022 [main] INFO  - Started ServerConnector@4c4d89ab{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 10:47:54,022 [main] INFO  - Started @1782ms
26-06-2015 10:47:54,043 [main] INFO  - Stopped ServerConnector@4c4d89ab{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 10:47:54,043 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@596e1d6b{/static,null,UNAVAILABLE}
26-06-2015 10:47:54,046 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 10:47:54,048 [main] INFO  - Started o.e.j.s.h.ContextHandler@215a463d{/static,null,AVAILABLE}
26-06-2015 10:47:54,049 [main] INFO  - Started ServerConnector@2db95fe6{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 10:47:54,050 [main] INFO  - Started @1809ms
26-06-2015 10:47:54,080 [main] INFO  - Stopped ServerConnector@2db95fe6{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 10:47:54,081 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@215a463d{/static,null,UNAVAILABLE}
26-06-2015 10:47:54,087 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 10:47:54,089 [main] INFO  - Started o.e.j.s.h.ContextHandler@7648ba9e{/static,null,AVAILABLE}
26-06-2015 10:47:54,090 [main] INFO  - Started ServerConnector@20d417bd{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 10:47:54,090 [main] INFO  - Started @1850ms
26-06-2015 10:47:54,114 [main] INFO  - Stopped ServerConnector@20d417bd{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 10:47:54,114 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@7648ba9e{/static,null,UNAVAILABLE}
26-06-2015 10:49:55,418 [main] INFO  - Logging initialized @164ms
26-06-2015 10:49:55,494 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 10:49:55,515 [main] INFO  - Started o.e.j.s.h.ContextHandler@54bb473b{/static,null,AVAILABLE}
26-06-2015 10:49:55,535 [main] INFO  - Started ServerConnector@6016a917{HTTP/1.1}{0.0.0.0:8892}
26-06-2015 10:49:55,536 [main] INFO  - Started @287ms
26-06-2015 10:51:56,403 [main] INFO  - Logging initialized @169ms
26-06-2015 10:51:56,511 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 10:51:56,539 [main] INFO  - Started o.e.j.s.h.ContextHandler@655fd43{/static,null,AVAILABLE}
26-06-2015 10:51:56,564 [main] INFO  - Started ServerConnector@35f5e42b{HTTP/1.1}{0.0.0.0:8892}
26-06-2015 10:51:56,564 [main] INFO  - Started @335ms
26-06-2015 11:19:10,954 [main] INFO  - Logging initialized @160ms
26-06-2015 11:19:11,030 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:19:11,049 [main] INFO  - Started o.e.j.s.h.ContextHandler@592bf469{/static,null,AVAILABLE}
26-06-2015 11:19:11,067 [main] INFO  - Started ServerConnector@a303147{HTTP/1.1}{0.0.0.0:8892}
26-06-2015 11:19:11,068 [main] INFO  - Started @279ms
26-06-2015 11:19:12,396 [main] INFO  - Logging initialized @1063ms
26-06-2015 11:19:12,458 [main] INFO  - jetty-9.2.z-SNAPSHOT
